time	V(x)
2,482480091078974e-004	4,640745e-001
2,502011341078974e-004	3,825383e-001
2,521542591078974e-004	2,952484e-001
2,541073841078974e-004	2,035177e-001
2,560605091078974e-004	1,087258e-001
2,580136341078974e-004	1,229866e-002
2,599667591078974e-004	-8,431349e-002
2,619198841078974e-004	-1,796575e-001
2,638730091078974e-004	-2,722993e-001
2,658261341078974e-004	-3,608454e-001
2,677792591078974e-004	-4,439641e-001
2,697323841078974e-004	-5,204052e-001
2,716855091078974e-004	-5,890189e-001
2,736386341078974e-004	-6,487732e-001
2,755917591078974e-004	-6,987693e-001
2,775448841078974e-004	-7,382553e-001
2,794980091078974e-004	-7,666372e-001
2,814511341078974e-004	-7,834883e-001
2,834042591078974e-004	-7,885549e-001
2,853573841078974e-004	-7,817609e-001
2,873105091078974e-004	-7,632085e-001
2,892636341078974e-004	-7,331768e-001
2,912167591078974e-004	-6,921173e-001
2,931698841078974e-004	-6,406478e-001
2,951230091078974e-004	-5,795424e-001
2,970761341078974e-004	-5,097201e-001
2,990292591078974e-004	-4,322311e-001
3,009823841078974e-004	-3,482410e-001
3,029355091078974e-004	-2,590130e-001
3,048886341078974e-004	-1,658892e-001
3,068417591078974e-004	-7,027030e-002
3,087948841078975e-004	2,640555e-002
3,107480091078975e-004	1,226842e-001
3,127011341078975e-004	2,171176e-001
3,146542591078975e-004	3,082854e-001
3,166073841078975e-004	3,948162e-001
3,185605091078975e-004	4,754087e-001
3,205136341078975e-004	5,488505e-001
3,224667591078975e-004	6,140372e-001
3,244198841078975e-004	6,699881e-001
3,263730091078975e-004	7,158618e-001
3,283261341078975e-004	7,509683e-001
3,302792591078975e-004	7,747795e-001
3,322323841078975e-004	7,869373e-001
3,341855091078975e-004	7,872589e-001
3,361386341078975e-004	7,757393e-001
3,380917591078975e-004	7,525519e-001
3,400448841078975e-004	7,180454e-001
3,419980091078975e-004	6,727388e-001
3,439511341078975e-004	6,173136e-001
3,459042591078975e-004	5,526035e-001
3,478573841078975e-004	4,795817e-001
3,498105091078975e-004	3,993465e-001
3,517636341078975e-004	3,131047e-001
3,537167591078975e-004	2,221536e-001
3,556698841078975e-004	1,278611e-001
3,576230091078975e-004	3,164548e-002
3,595761341078975e-004	-6,504615e-002
3,615292591078975e-004	-1,607594e-001
3,634823841078975e-004	-2,540547e-001
3,654355091078975e-004	-3,435288e-001
3,673886341078975e-004	-4,278359e-001
3,693417591078975e-004	-5,057079e-001
3,712948841078975e-004	-5,759737e-001
3,732480091078975e-004	-6,375762e-001
3,752011341078975e-004	-6,895890e-001
3,771542591078975e-004	-7,312298e-001
3,791073841078975e-004	-7,618721e-001
3,810605091078975e-004	-7,810552e-001
3,830136341078975e-004	-7,884905e-001
3,849667591078975e-004	-7,840662e-001
3,869198841078975e-004	-7,678488e-001
3,888730091078975e-004	-7,400823e-001
3,908261341078975e-004	-7,011842e-001
3,927792591078975e-004	-6,517396e-001
3,947323841078975e-004	-5,924922e-001
3,966855091078975e-004	-5,243332e-001
3,986386341078975e-004	-4,482878e-001
4,005917591078975e-004	-3,654997e-001
4,025448841078975e-004	-2,772142e-001
4,044980091078975e-004	-1,847591e-001
4,064511341078975e-004	-8,952503e-002
4,084042591078975e-004	7,055567e-003
4,103573841078975e-004	1,035300e-001
4,123105091078975e-004	1,984473e-001
4,142636341078975e-004	2,903798e-001
4,162167591078975e-004	3,779446e-001
4,181698841078975e-004	4,598249e-001
